artist,hotttnesss
Porter Robinson,0.617649
The Pussycat Dolls,0.617293
Joe Brooks,0.617044
Foxes,0.616732
Shontelle,0.615733
Jon Pardi,0.614794
Dido,0.614357
Estelle,0.614018
Sky Ferreira,0.6139
Christina Grimmie,0.613832
Diddy,0.613806
James Vincent McMorrow,0.61364
Dizzee Rascal,0.61345
Chrisette Michele,0.612955
Sub Focus,0.612787
Taio Cruz,0.612318
Faith Hill,0.611609
Flosstradamus,0.611422
Before You Exit,0.611276
Bridgit Mendler,0.610823
Sean Kingston,0.610325
Hanson,0.610275
The Bird and the Bee,0.610062
Professor Green,0.610056
Villagers,0.609864
The Wanted,0.609837
The-Dream,0.609105
Leighton Meester,0.608353
Jesse McCartney,0.60728
Tyler Farr,0.607091
Frankmusik,0.606995
Grouplove,0.606345
Alexandra Burke,0.606138
Kid Cudi,0.606016
Jonas Brothers,0.605919
The Cardigans,0.605253
D'Angelo,0.60517
Example,0.605093
Diddy - Dirty Money,0.60506
AniMe,0.604921
Wyclef Jean,0.603826
T-Pain,0.603469
Nicky Romero,0.602849
Sara Evans,0.602708
Cher Lloyd,0.602512
La Roux,0.602219
Tensnake,0.600592
Kip Moore,0.60055
Colbie Caillat,0.599581
Emily Osment,0.59785
Rizzle Kicks,0.597758
Elbow,0.597626
Frankie Ballard,0.597466
Stiftelsen,0.596474
Big Time Rush,0.595793
Busted,0.595529
Maxwell,0.595175
Chase & Status,0.595116
Neon Trees,0.594841
Kate Nash,0.594444
Iyaz,0.593323
Ashley Tisdale,0.592404
Pixie Lott,0.591087
Theophilus London,0.59107
Somo,0.590838
Sexion d'Assaut,0.589962
Say Lou Lou,0.589893
Canaan Smith,0.589451
Maverick Sabre,0.588693
Girls Aloud,0.587234
Digitalism,0.587025
Pnau,0.586018
The Airborne Toxic Event,0.585947
Klovner i Kamp,0.585855
Jennette McCurdy,0.585547
Classified,0.585357
Anthony Hamilton,0.585156
Simian Mobile Disco,0.584885
Médine,0.584417
Greyson Chance,0.584157
Koreless,0.583101
Young The Giant,0.58307
Cimorelli,0.58242
Doves,0.582102
Lupe Fiasco,0.582091
Modestep,0.582086
John Dahlbäck,0.58188
Curren$y,0.581831
Tove Styrke,0.58169
Alexa Goddard,0.581567
Lee Ann Womack,0.581332
Reece Mastin,0.581136
LeAnn Rimes,0.580599
Kardinal Offishall,0.580493
Katy B,0.580381
Raheem DeVaughn,0.580357
Hot Chelle Rae,0.579558
Five for Fighting,0.57907
Foy Vance,0.578967
Smoke DZA,0.578906
Tim Berg,0.578823
JMSN,0.578741
The Ting Tings,0.578547
OrelSan,0.577532
Veronica Maggio,0.577138
Chiddy Bang,0.576717
Daniel Powter,0.576316
Dylan Scott,0.576305
Cut Copy,0.575746
Mr. Vegas,0.57567
Raphael Saadiq,0.575421
David Choi,0.575383
Cheryl Cole,0.574982
Joy Orbison,0.57459
Lisa Hannigan,0.573987
Cheryl,0.57386
Flunk,0.573847
De Hofnar,0.573019
Wretch 32,0.572602
N.E.R.D.,0.572445
1995,0.572114
Charlene Soraia,0.571698
Jacques Greene,0.570143
JLS,0.569349
Elephant Man,0.569281
Cham,0.569022
Imogen Heap,0.568927
Alex Clare,0.56841
Grieves,0.568365
Dappy,0.568154
Matt Cardle,0.567836
Ryan Leslie,0.567497
Feeder,0.567492
Camo & Krooked,0.566152
Richard Ashcroft,0.564876
Kellie Pickler,0.564242
Chingy,0.564006
Kat DeLuna,0.563593
Oscar Zia,0.563491
Wankelmut,0.562915
Delilah,0.562669
