artist,hotttnesss
Icona Pop,0.752443
Neil Young,0.752283
A-Trak,0.752074
Christina Perri,0.751534
Steve Aoki,0.751502
Kenny Chesney,0.751309
A.R. Rahman,0.75118
Pablo López,0.750868
AronChupa,0.750861
SHINee,0.750837
Amy Winehouse,0.750647
A Great Big World,0.750427
Serebro,0.750259
Laura Pausini,0.749961
Alexandra Stan,0.749937
Fréro Delavega,0.749813
Michel Teló,0.749769
Anirudh Ravichander,0.749735
Röyksopp,0.749714
Janet Jackson,0.749615
Pearl Jam,0.74934
Frank Sinatra,0.749206
Guns N' Roses,0.749173
Anna Naklab,0.749111
Logic,0.748709
Gotye,0.748617
Booba,0.748397
Eva Simons,0.748323
Walk Off The Earth,0.748126
Alabama Shakes,0.747799
La Arrolladora Banda El Limón,0.747555
Klingande,0.74745
소녀시대,0.747445
Zaz,0.74743
Shinedown,0.747103
ONE OK ROCK,0.747075
Guy Sebastian,0.747072
DJ Antoine,0.746977
Manuel Carrasco,0.746731
Queen,0.746488
Atif Aslam,0.746451
Jason Aldean,0.746337
EXILE,0.746309
Tiziano Ferro,0.746282
Jorge & Mateus,0.746167
Hilltop Hoods,0.746059
Sam Feldt,0.745978
Julion Alvarez y Su Norteno Banda,0.745869
Leona Lewis,0.745752
Steve Angello,0.745254
Def Leppard,0.74516
R.City,0.745142
Paul McCartney,0.744928
Netsky,0.744922
Stone Temple Pilots,0.744892
Capital Cities,0.744662
Oliver Heldens,0.744531
Labrinth,0.744478
M83,0.744257
Danny Saucedo,0.744251
Wham!,0.744114
Dierks Bentley,0.74402
Marina Kaye,0.743939
Eric Prydz,0.743055
Phil Collins,0.742875
西野カナ,0.742869
Aurora,0.742855
Audien,0.742853
Timmy Trumpet,0.742676
Haim,0.742609
Jovanotti,0.742435
fun.,0.742421
Swedish House Mafia,0.742303
Panic! At the Disco,0.741884
Mark Forster,0.741778
MNEK,0.741729
Alligatoah,0.741387
Iron Maiden,0.741283
Kelly Clarkson,0.740758
Winner,0.740611
Madilyn Bailey,0.740163
Kodaline,0.74011
Seinabo Sey,0.740074
Modà,0.740068
Ciara,0.74002
Otto Knows,0.739159
Bon Jovi,0.739121
Meek Mill,0.738874
Cesare Cremonini,0.73878
Akon,0.738576
Alanis Morissette,0.738535
Milky Chance,0.738434
Kensington,0.737823
Vigiland,0.737565
TYDOLLA$IGN,0.737414
Miley Cyrus,0.737298
G-Eazy,0.737169
Jason Mraz,0.737162
Rod Stewart,0.736759
U2,0.73664
Marianas Trench,0.736604
Childish Gambino,0.736247
Psy,0.736023
Evanescence,0.735689
DJ Khaled,0.735406
Three Days Grace,0.735192
Journey,0.735147
Calibre 50,0.734844
The Game,0.734208
The Rolling Stones,0.73415
Lunchmoney Lewis,0.733913
Brad Paisley,0.733881
Kwabs,0.733471
Gabrielle Aplin,0.733396
Rush,0.733387
周杰倫,0.73338
Jana Kramer,0.733349
Synapson,0.73328
Chris Cornell,0.732594
Birds of Tokyo,0.732543
Oasis,0.732463
Lee Brice,0.732282
Rob Thomas,0.732131
Foals,0.732042
Klangkarussell,0.731952
Cage the Elephant,0.731829
Lenny Kravitz,0.731756
Rascal Flatts,0.731584
Cole Swindell,0.731486
Banda Los Recoditos,0.731445
Sara Bareilles,0.731242
Abraham Mateo,0.731217
ItaloBrothers,0.731114
Ice Cube,0.730994
Baby K,0.730715
Kadebostany,0.730595
Darius Rucker,0.730103
Far * East Movement,0.730102
D.A.M.A.,0.730048
Wanda,0.730029
the GazettE,0.73001
AWOLNATION,0.729897
Parkway Drive,0.729843
Cheek,0.729756
Kiesza,0.72972
Arijit Singh,0.729591
Ha-Ash,0.729524
Oscar and the Wolf,0.729499
a-ha,0.729459
Anastácia,0.729439
Stereophonics,0.729219
Disturbed,0.729072
Ryan Adams,0.729011
Juan Gabriel,0.728983
Erykah Badu,0.728977
James Blake,0.728972
Chayanne,0.728827
Mariza,0.728695
Bomba Estéreo,0.728606
Damien Rice,0.728575
Marco Antonio Solís,0.728424
Pia Mia,0.728194
Eros Ramazzotti,0.728171
Ghost,0.728148
Idina Menzel,0.727952
Faith No More,0.727899
Natalia Lafourcade,0.727831
Brett Eldredge,0.727803
Roberto Carlos,0.727796
Johnny Cash,0.72764
Auryn,0.727537
Skunk Anansie,0.727501
James Arthur,0.727479
GOT7,0.727205
Christopher,0.727205
Hedley,0.727103
Placebo,0.726842
The Band Perry,0.726798
The Piano Guys,0.726766
Linkin Park,0.726594
Stevie Wonder,0.726583
Cee Lo Green,0.726497
Yandel,0.726287
PINK,0.726263
Lamb of God,0.72599
Avenged Sevenfold,0.725804
LMFAO,0.72566
Broods,0.725582
Nat King Cole,0.725559
Coleman Hell,0.725283
Lady Antebellum,0.725227
Wesley Safadão,0.72513
Lucas Lucco,0.725127
Carpenters,0.725115
Seal,0.725047
Franz Ferdinand,0.725007
The Cranberries,0.724962
Max Gazzè,0.724834
Jeremih,0.724797
MC Hammer,0.724669
Reik,0.724544
Chet Faker,0.724535
Selena Gomez & The Scene,0.724495
Arcade Fire,0.724381
Ne-Yo,0.724209
Helene Fischer,0.723884
Calogero,0.723862
Brandon Flowers,0.723567
James Blunt,0.723533
Foster the People,0.723016
Josh Groban,0.722666
Melendi,0.722531
A Tribe Called Quest,0.722371
